,id,word,constitutive_component,constitutive_policydemic,regulative_component,regulative_policydemic
110,7-51,",",_,_,(Cac) Activation Condition[46],*[46]
111,7-52,or,_,_,(Cac) Activation Condition[46],*[46]
112,7-53,local,*,*,(Cac) Activation Condition[46],*[46]
113,7-54,quarantine,"(P, prop) Constituting Property Property",*,(Cac) Activation Condition[46],*[46]
114,7-55,or,_,_,(Cac) Activation Condition[46],*[46]
115,7-56,isolation,"(P, prop) Constituting Property Property",*,(Cac) Activation Condition[46],*[46]
116,7-57,order,"(P, prop) Constituting Property Property",*,(Cac) Activation Condition[46],*[46]
117,7-58,related,"(P, prop) Constituting Property Property[5]",*[5],(Cac) Activation Condition[46],*[46]
118,7-59,to,"(P, prop) Constituting Property Property[5]",*[5],(Cac) Activation Condition[46],*[46]
119,7-60,COVID,"(P, prop) Constituting Property Property[5]",*[5],(Cac) Activation Condition[46],*[46]
120,7-61,-,"(P, prop) Constituting Property Property[5]",*[5],(Cac) Activation Condition[46],*[46]
121,7-62,19,"(P, prop) Constituting Property Property[5]",*[5],(Cac) Activation Condition[46],*[46]
122,8-1,.,_,_,_,_
123,9-1,(,_,_,_,_
124,9-2,2,_,_,_,_
125,9-3,),_,_,_,_
126,9-4,The,_,_,(Cac) Activation Condition[47]|(Bdir) Object\_Direct[48],*[47]|(C) Claimant[48]
127,9-5,employee,_,_,(Cac) Activation Condition[47]|(Bdir) Object\_Direct[48],*[47]|(C) Claimant[48]
128,9-6,has,_,_,(Cac) Activation Condition[47],*[47]
129,9-7,been,_,_,(Cac) Activation Condition[47],*[47]
130,9-8,advised,_,_,(Cac) Activation Condition[47]|(I) Aim[49],*[47]|*[49]
131,9-9,by,_,_,(Cac) Activation Condition[47],*[47]
132,9-10,a,_,_,(Cac) Activation Condition[47]|(A) Attribute[50],*[47]|*[50]
133,9-11,health,_,_,(Cac) Activation Condition[47]|(A) Attribute[50],*[47]|*[50]
134,9-12,care,_,_,(Cac) Activation Condition[47]|(A) Attribute[50],*[47]|*[50]
135,9-13,provider,_,_,(Cac) Activation Condition[47]|(A) Attribute[50],*[47]|*[50]
136,9-14,to,_,_,(Cac) Activation Condition[47]|(Cex) Execution Constraint[51],*[47]|*[51]
137,9-15,self-quarantine,_,_,(Cac) Activation Condition[47]|(Cex) Execution Constraint[51],*[47]|*[51]
138,9-16,due,_,_,(Cac) Activation Condition[47]|(Cex) Execution Constraint[51],*[47]|*[51]
139,9-17,to,_,_,(Cac) Activation Condition[47]|(Cex) Execution Constraint[51],*[47]|*[51]
140,9-18,concerns,_,_,(Cac) Activation Condition[47]|(Cex) Execution Constraint[51],*[47]|*[51]
141,9-19,related,_,_,(Cac) Activation Condition[47]|(Cex) Execution Constraint[51],*[47]|*[51]
142,9-20,to,_,_,(Cac) Activation Condition[47]|(Cex) Execution Constraint[51],*[47]|*[51]
143,9-21,COVID,_,_,(Cac) Activation Condition[47]|(Cex) Execution Constraint[51],*[47]|*[51]
144,9-22,-,_,_,(Cac) Activation Condition[47]|(Cex) Execution Constraint[51],*[47]|*[51]
145,9-23,19,_,_,(Cac) Activation Condition[47]|(Cex) Execution Constraint[51],*[47]|*[51]
146,10-1,.,_,_,_,_
147,11-1,(,_,_,_,_
148,11-2,3,_,_,_,_
149,11-3,),_,_,_,_
150,11-4,The,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[53]|(A) Attribute[54],*[52]|*[53]|(C) Claimant[54]
151,11-5,employee,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[53]|(A) Attribute[54],*[52]|*[53]|(C) Claimant[54]
152,11-6,is,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[53]|(I) Aim[55],*[52]|*[53]|*[55]
153,11-7,experiencing,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[53]|(I) Aim[55],*[52]|*[53]|*[55]
154,11-8,symptoms,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[53]|(Bdir) Object\_Direct[56],*[52]|*[53]|*[56]
155,11-9,of,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[53]|(Bdir, prop) Object\_Direct\_Property[57]",*[52]|*[53]|*[57]
156,11-10,COVID,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[53]|(Bdir, prop) Object\_Direct\_Property[57]",*[52]|*[53]|*[57]
157,11-11,-,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[53]|(Bdir, prop) Object\_Direct\_Property[57]",*[52]|*[53]|*[57]
158,11-12,19,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[53]|(Bdir, prop) Object\_Direct\_Property[57]",*[52]|*[53]|*[57]
159,11-13,and,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[53],*[52]|*[53]
160,11-14,seeking,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[53]|(A, prop) Attribute\_Property[58]",*[52]|*[53]|*[58]
161,11-15,a,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[53]|(A, prop) Attribute\_Property[58]",*[52]|*[53]|*[58]
162,11-16,medical,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[53]|(A, prop) Attribute\_Property[58]",*[52]|*[53]|*[58]
163,11-17,diagnosis,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[53]|(A, prop) Attribute\_Property[58]",*[52]|*[53]|*[58]
164,12-1,.,_,_,(Cex) Execution Constraint[52],*[52]
165,13-1,(,_,_,(Cex) Execution Constraint[52],*[52]
166,13-2,4,_,_,(Cex) Execution Constraint[52],*[52]
167,13-3,),_,_,(Cex) Execution Constraint[52],*[52]
168,13-4,The,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(A) Attribute[60],*[52]|*[59]|*[60]
169,13-5,employee,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(A) Attribute[60],*[52]|*[59]|*[60]
170,13-6,is,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(I) Aim[61],*[52]|*[59]|*[61]
171,13-7,caring,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(I) Aim[61],*[52]|*[59]|*[61]
172,13-8,for,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[59],*[52]|*[59]
173,13-9,an,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir) Object\_Direct[62],*[52]|*[59]|*[62]
174,13-10,individual,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir) Object\_Direct[62],*[52]|*[59]|*[62]
175,13-11,who,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[63]",*[52]|*[59]|*[63]
176,13-12,is,(F) Constitutive Function,*,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[63]",*[52]|*[59]|*[63]
177,13-13,subject,(P) Constituting Property,*,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[63]",*[52]|*[59]|*[63]
178,13-14,to,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[63]",*[52]|*[59]|*[63]
179,13-15,an,"(P, prop) Constituting Property Property[6]",*[6],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[63]",*[52]|*[59]|*[63]
180,13-16,order,"(P, prop) Constituting Property Property[6]",*[6],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[63]",*[52]|*[59]|*[63]
181,13-17,as,"(P, prop) Constituting Property Property[6]",*[6],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[63]",*[52]|*[59]|*[63]
182,13-18,described,"(P, prop) Constituting Property Property[6]",*[6],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[63]",*[52]|*[59]|*[63]
183,13-19,in,"(P, prop) Constituting Property Property[6]",*[6],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[63]",*[52]|*[59]|*[63]
184,13-20,subparagraph,"(P, prop) Constituting Property Property[6]",*[6],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[63]",*[52]|*[59]|*[63]
185,13-21,(,"(P, prop) Constituting Property Property[6]",*[6],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[63]",*[52]|*[59]|*[63]
186,13-22,1,"(P, prop) Constituting Property Property[6]",*[6],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[63]",*[52]|*[59]|*[63]
187,13-23,),"(P, prop) Constituting Property Property[6]",*[6],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[63]",*[52]|*[59]|*[63]
188,13-24,or,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[59],*[52]|*[59]
189,13-25,has,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[64]",*[52]|*[59]|*[64]
190,13-26,been,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[64]",*[52]|*[59]|*[64]
191,13-27,advised,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[64]|(I) Aim[65]",*[52]|*[59]|*[64]|*[65]
192,13-28,as,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[64]|(Cex) Execution Constraint[66]",*[52]|*[59]|*[64]|*[66]
193,13-29,described,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[64]|(Cex) Execution Constraint[66]",*[52]|*[59]|*[64]|*[66]
194,13-30,in,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[64]|(Cex) Execution Constraint[66]",*[52]|*[59]|*[64]|*[66]
195,13-31,paragraph,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[64]|(Cex) Execution Constraint[66]",*[52]|*[59]|*[64]|*[66]
196,13-32,(,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[64]|(Cex) Execution Constraint[66]",*[52]|*[59]|*[64]|*[66]
197,13-33,2,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[64]|(Cex) Execution Constraint[66]",*[52]|*[59]|*[64]|*[66]
198,13-34,),_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[59]|(Bdir, prop) Object\_Direct\_Property[64]|(Cex) Execution Constraint[66]",*[52]|*[59]|*[64]|*[66]
199,14-1,.,_,_,(Cex) Execution Constraint[52],*[52]
200,15-1,(,_,_,(Cex) Execution Constraint[52],*[52]
201,15-2,5,_,_,(Cex) Execution Constraint[52],*[52]
202,15-3,),_,_,(Cex) Execution Constraint[52],*[52]
203,15-4,The,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(A) Attribute[68],*[52]|*[67]|(C) Claimant[68]
204,15-5,employee,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(A) Attribute[68],*[52]|*[67]|(C) Claimant[68]
205,15-6,is,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(I) Aim[69],*[52]|*[67]|*[69]
206,15-7,caring,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(I) Aim[69],*[52]|*[67]|*[69]
207,15-8,for,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67],*[52]|*[67]
208,15-9,a,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Bdir) Object\_Direct[70],*[52]|*[67]|*[70]
209,15-10,son,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Bdir) Object\_Direct[70],*[52]|*[67]|*[70]
210,15-11,or,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67],*[52]|*[67]
211,15-12,daughter,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Bdir) Object\_Direct[71],*[52]|*[67]|*[71]
212,15-13,of,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Bdir, prop) Object\_Direct\_Property[72]",*[52]|*[67]|(C) Claimant[72]
213,15-14,such,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Bdir, prop) Object\_Direct\_Property[72]",*[52]|*[67]|(C) Claimant[72]
214,15-15,employee,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Bdir, prop) Object\_Direct\_Property[72]",*[52]|*[67]|(C) Claimant[72]
215,15-16,if,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[73],*[52]|*[67]|*[73]
216,15-17,the,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[73]|(Bdir) Object\_Direct[74],*[52]|*[67]|*[73]|*[74]
217,15-18,school,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[73]|(Bdir) Object\_Direct[74],*[52]|*[67]|*[73]|*[74]
218,15-19,or,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[73],*[52]|*[67]|*[73]
219,15-20,place,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[73]|(Bdir) Object\_Direct[75],*[52]|*[67]|*[73]|*[75]
220,15-21,of,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[73]|(Bdir) Object\_Direct[75],*[52]|*[67]|*[73]|*[75]
221,15-22,care,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[73]|(Bdir) Object\_Direct[75],*[52]|*[67]|*[73]|*[75]
222,15-23,of,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[73]|(Bdir, prop) Object\_Direct\_Property[76]",*[52]|*[67]|*[73]|*[76]
223,15-24,the,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[73]|(Bdir, prop) Object\_Direct\_Property[76]",*[52]|*[67]|*[73]|*[76]
224,15-25,son,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[73]|(Bdir, prop) Object\_Direct\_Property[76]",*[52]|*[67]|*[73]|*[76]
225,15-26,or,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[73],*[52]|*[67]|*[73]
226,15-27,daughter,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[73]|(Bdir, prop) Object\_Direct\_Property[77]",*[52]|*[67]|*[73]|*[77]
227,15-28,has,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[73]|*[78],*[52]|*[67]|*[73]|*[78]
228,15-29,been,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[73]|*[78],*[52]|*[67]|*[73]|*[78]
229,15-30,closed,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[73]|*[78],*[52]|*[67]|*[73]|*[78]
230,15-31,",",_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67],*[52]|*[67]
231,15-32,or,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67],*[52]|*[67]
232,15-33,the,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(A) Attribute[80],*[52]|*[67]|*[79]|*[80]
233,15-34,child,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(A) Attribute[80],*[52]|*[67]|*[79]|*[80]
234,15-35,care,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(A) Attribute[80],*[52]|*[67]|*[79]|*[80]
235,15-36,provider,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(A) Attribute[80],*[52]|*[67]|*[79]|*[80]
236,15-37,of,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(A, prop) Attribute\_Property[81]",*[52]|*[67]|*[79]|*[81]
237,15-38,such,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(A, prop) Attribute\_Property[81]",*[52]|*[67]|*[79]|*[81]
238,15-39,son,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(A, prop) Attribute\_Property[81]",*[52]|*[67]|*[79]|*[81]
239,15-40,or,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79],*[52]|*[67]|*[79]
240,15-41,daughter,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(A, prop) Attribute\_Property[82]",*[52]|*[67]|*[79]|*[82]
241,15-42,is,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(I) Aim[83],*[52]|*[67]|*[79]|*[83]
242,15-43,unavailable,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(Cex) Execution Constraint[84],*[52]|*[67]|*[79]|*[84]
243,15-44,",",_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79],*[52]|*[67]|*[79]
244,15-45,due,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(Cac) Activation Condition[85],*[52]|*[67]|*[79]|*[85]
245,15-46,to,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(Cac) Activation Condition[85],*[52]|*[67]|*[79]|*[85]
246,15-47,COVID,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(Cac) Activation Condition[85],*[52]|*[67]|*[79]|*[85]
247,15-48,-,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(Cac) Activation Condition[85],*[52]|*[67]|*[79]|*[85]
248,15-49,19,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(Cac) Activation Condition[85],*[52]|*[67]|*[79]|*[85]
249,15-50,precautions,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[67]|(Cac) Activation Condition[79]|(Cac) Activation Condition[85],*[52]|*[67]|*[79]|*[85]
250,16-1,.,_,_,(Cex) Execution Constraint[52],*[52]
251,17-1,(,_,_,(Cex) Execution Constraint[52],*[52]
252,17-2,6,_,_,(Cex) Execution Constraint[52],*[52]
253,17-3,),_,_,(Cex) Execution Constraint[52],*[52]
254,17-4,The,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(A) Attribute[87],*[52]|*[86]|*[87]
255,17-5,employee,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(A) Attribute[87],*[52]|*[86]|*[87]
256,17-6,is,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(I) Aim[88],*[52]|*[86]|*[88]
257,17-7,experiencing,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(I) Aim[88],*[52]|*[86]|*[88]
258,17-8,any,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[89]",*[52]|*[86]|*[89]
259,17-9,other,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[89]",*[52]|*[86]|*[89]
260,17-10,substantially,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[89]",*[52]|*[86]|*[89]
261,17-11,similar,_,_,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[89]",*[52]|*[86]|*[89]
262,17-12,condition,_,_,(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir) Object\_Direct[90],*[52]|*[86]|*[90]
263,17-13,specified,(F) Constitutive Function,*,"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
264,17-14,by,(P) Constituting Property[7],*[7],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
265,17-15,the,(P) Constituting Property[7],*[7],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
266,17-16,Secretary,(P) Constituting Property[7],*[7],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
267,17-17,of,(P) Constituting Property[7],*[7],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
268,17-18,Health,(P) Constituting Property[7],*[7],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
269,17-19,and,(P) Constituting Property[7],*[7],"(Cex) Execution Constraint[52]|(Cac) Activation Condition[86]|(Bdir, prop) Object\_Direct\_Property[91]",*[52]|*[86]|*[91]
